egoid,hs_1,hssex_1,hsgrade_1,apexams_1,degreeintent_1,hrswork_1,ndfirst_1,majorevent_1,hsclubrc_1
44310,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
33009,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,no,1
31294,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
65143,Public magnet school,A mixture of boys and girls,A or A+,Not offered at my high school,"M.D., D.O., D.D.S., or D.V.M.",11-15,No,no,1
91726,Public school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",11-15,Yes,no,1
59355,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
96184,Public magnet school,A mixture of boys and girls,A-,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
92339,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
70005,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
64157,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
68050,Private religious/parochial school,A mixture of boys and girls,A or A+,1-2,Ph.D or Ed.D.,11-15,Yes,no,1
46151,Private religious/parochial school,Same sex- male,A or A+,0,"M.D., D.O., D.D.S., or D.V.M.",None,No,no,1
79395,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
59863,Public school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",0-4,Yes,no,1
63419,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",11-15,Yes,no,1
22913,Public school,A mixture of boys and girls,A or A+,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
91313,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
14511,Private religious/parochial school,Same sex- female,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
73962,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
48969,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
22093,Private religious/parochial school,Same sex- male,A-,5 or more,"Bachelor's degree (B.A., B.S., etc.)",None,Yes,yes,1
32919,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",5-10,Yes,no,1
10153,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
79731,Public school,A mixture of boys and girls,b,1-2,"Bachelor's degree (B.A., B.S., etc.)",None,Yes,yes,1
63611,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
64296,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,no,1
23487,Private religious/parochial school,Same sex- male,A or A+,3-4,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
17569,Private religious/parochial school,Same sex- male,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
77036,Private religious/parochial school,Same sex- female,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",0-4,Yes,no,1
53518,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
92340,Private religious/parochial school,Same sex- female,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
37485,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",21 or more,Yes,no,1
33953,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
53333,Private independent college-prep school,A mixture of boys and girls,A-,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
82986,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",None,Yes,no,1
61772,Public school,A mixture of boys and girls,A or A+,3-4,Ph.D or Ed.D.,0-4,No,no,1
47280,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",11-15,Yes,no,0
70566,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,J.D. (Law),None,Yes,no,1
82964,Private religious/parochial school,Same sex- female,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",5-10,Yes,no,1
11402,Public school,A mixture of boys and girls,A-,5 or more,Ph.D or Ed.D.,None,Yes,yes,1
38610,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,5-10,Yes,yes,1
96610,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",5-10,Yes,no,1
77711,Public school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",5-10,Yes,no,1
48505,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
78667,Private religious/parochial school,Same sex- male,A or A+,3-4,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,yes,1
17020,Public school,A mixture of boys and girls,A-,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
48676,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
29885,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
32976,Public school,A mixture of boys and girls,A or A+,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
79167,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,"M.D., D.O., D.D.S., or D.V.M.",0-4,Yes,yes,1
65061,Private religious/parochial school,A mixture of boys and girls,A or A+,1-2,"Bachelor's degree (B.A., B.S., etc.)",None,No,no,1
43710,Public school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
61389,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
22455,Public charter school,A mixture of boys and girls,A-,5 or more,Ph.D or Ed.D.,None,Yes,no,1
82819,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",11-15,Yes,no,1
67771,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
57443,Private religious/parochial school,A mixture of boys and girls,A or A+,Not offered at my high school,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
96469,Private religious/parochial school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
94579,Public school,A mixture of boys and girls,A or A+,3-4,"M.D., D.O., D.D.S., or D.V.M.",5-10,No,no,1
29257,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,yes,1
23518,Public school,A mixture of boys and girls,A-,3-4,"Bachelor's degree (B.A., B.S., etc.)",0-4,No,no,1
80484,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,yes,1
49539,Private religious/parochial school,A mixture of boys and girls,A or A+,0,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
63904,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,No,no,1
82490,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,yes,1
20335,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",21 or more,Yes,no,1
35031,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,no,1
88185,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",5-10,Yes,no,1
35344,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",11-15,Yes,no,1
31175,Private independent college-prep school,A mixture of boys and girls,A-,1-2,"Bachelor's degree (B.A., B.S., etc.)",5-10,Yes,yes,1
41167,Public school,A mixture of boys and girls,A-,5 or more,J.D. (Law),None,Yes,no,1
98325,Public school,A mixture of boys and girls,A or A+,3-4,Ph.D or Ed.D.,0-4,Yes,no,1
36963,Public school,A mixture of boys and girls,A or A+,5 or more,J.D. (Law),None,Yes,no,1
50666,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
98624,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,"M.D., D.O., D.D.S., or D.V.M.",None,No,no,1
42617,Private religious/parochial school,Same sex- female,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
58793,Private religious/parochial school,A mixture of boys and girls,A or A+,1-2,J.D. (Law),None,No,no,1
25125,Private religious/parochial school,Same sex- female,A-,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
25548,Private religious/parochial school,Same sex- male,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",5-10,Yes,no,1
25966,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
95444,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
96689,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,no,1
22587,Public school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
43581,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
75578,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,0-4,Yes,no,1
43507,Public charter school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,None,Yes,no,0
91551,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
30676,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,yes,1
19030,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,J.D. (Law),None,Yes,no,1
33657,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",0-4,Yes,no,1
76521,Private independent college-prep school,Same sex- male,A or A+,5 or more,J.D. (Law),5-10,Yes,no,1
52848,Private independent college-prep school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,No,no,1
40231,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,no,1
65656,Private religious/parochial school,Same sex- male,A or A+,5 or more,Ph.D or Ed.D.,0-4,Yes,no,1
30610,Private independent college-prep school,A mixture of boys and girls,A-,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
36117,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,None,No,yes,1
82587,Public school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
14690,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
40569,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",5-10,Yes,no,1
97021,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
26320,Private religious/parochial school,A mixture of boys and girls,A or A+,1-2,"Bachelor's degree (B.A., B.S., etc.)",None,Yes,no,1
77532,Private religious/parochial school,A mixture of boys and girls,A-,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
92515,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,16-20,Yes,no,1
97844,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
81647,Public school,A mixture of boys and girls,A or A+,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
33127,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,None,Yes,no,1
45958,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,J.D. (Law),5-10,Yes,yes,1
49790,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
74251,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,no,1
28326,Private religious/parochial school,Same sex- male,A-,5 or more,"Bachelor's degree (B.A., B.S., etc.)",None,Yes,yes,1
20507,Private religious/parochial school,Same sex- male,A or A+,5 or more,Ph.D or Ed.D.,0-4,No,no,1
71592,Public school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",None,No,no,0
15181,Private religious/parochial school,Same sex- male,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
70209,Public magnet school,A mixture of boys and girls,B+,5 or more,J.D. (Law),5-10,Yes,yes,1
78657,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,yes,1
21887,Private religious/parochial school,Same sex- male,A or A+,5 or more,J.D. (Law),0-4,Yes,no,1
48154,Public school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",16-20,Yes,yes,1
92953,Private religious/parochial school,Same sex- male,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
90192,Public magnet school,A mixture of boys and girls,A-,3-4,Ph.D or Ed.D.,None,No,no,1
51495,Private religious/parochial school,A mixture of boys and girls,A or A+,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
34344,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,5-10,No,no,1
21793,Private independent college-prep school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,yes,1
37218,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",11-15,No,yes,1
17932,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",None,Yes,no,1
95026,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
66800,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,None,Yes,no,1
73693,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
80429,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
75149,Private religious/parochial school,Same sex- female,A or A+,5 or more,J.D. (Law),0-4,No,no,1
61659,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
81420,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",5-10,Yes,no,1
33740,Private independent college-prep school,Same sex- female,A or A+,3-4,"M.D., D.O., D.D.S., or D.V.M.",0-4,Yes,no,0
37979,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
87192,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
67709,Public magnet school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
36552,Public school,A mixture of boys and girls,A or A+,3-4,Ph.D or Ed.D.,0-4,Yes,no,1
14301,Private religious/parochial school,Same sex- female,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
36384,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
63138,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",5-10,Yes,no,1
51298,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
74632,Public magnet school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
16654,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,yes,1
54394,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,None,No,yes,1
84768,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
29134,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,"M.D., D.O., D.D.S., or D.V.M.",0-4,Yes,no,1
24029,Public school,A mixture of boys and girls,A or A+,1-2,Ph.D or Ed.D.,0-4,No,no,1
35361,Public school,A mixture of boys and girls,A or A+,3-4,"Bachelor's degree (B.A., B.S., etc.)",None,No,no,1
87056,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
49086,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,no,1
67917,Private religious/parochial school,A mixture of boys and girls,A-,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
85503,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",21 or more,Yes,yes,1
60008,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,yes,0
66542,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
55881,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
86265,Public school,A mixture of boys and girls,A or A+,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
10732,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
22119,Private independent college-prep school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
50797,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
39564,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
39285,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
22460,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",11-15,No,yes,1
25172,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
77134,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,Ph.D or Ed.D.,11-15,Yes,no,1
22143,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,5-10,No,no,1
93766,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,0
45097,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",5-10,Yes,yes,1
26289,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,yes,1
95490,Private religious/parochial school,Same sex- female,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
66979,Private religious/parochial school,A mixture of boys and girls,A or A+,1-2,"Bachelor's degree (B.A., B.S., etc.)",21 or more,No,no,1
23253,Public school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
12900,Public school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
90079,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,yes,1
47584,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
97990,Public school,A mixture of boys and girls,A or A+,Not offered at my high school,"M.D., D.O., D.D.S., or D.V.M.",None,No,no,1
39248,Public school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,No,yes,0
29354,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,no,1
25743,Private religious/parochial school,Same sex- male,A or A+,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
91429,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,No,yes,1
82269,Private religious/parochial school,Same sex- female,A-,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,No,no,1
22842,Public magnet school,A mixture of boys and girls,B+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",None,No,no,1
31311,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,None,No,yes,1
32423,Public school,A mixture of boys and girls,A-,5 or more,Ph.D or Ed.D.,0-4,No,yes,1
33084,Private religious/parochial school,Same sex- female,A or A+,5 or more,Ph.D or Ed.D.,None,No,no,1
14279,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,no,1
91932,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,No,yes,1
32404,Private religious/parochial school,A mixture of boys and girls,A-,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
73577,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,J.D. (Law),11-15,Yes,yes,1
70561,Private independent college-prep school,A mixture of boys and girls,b,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
43177,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
36501,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
26857,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
28327,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,J.D. (Law),0-4,Yes,no,1
42674,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,J.D. (Law),0-4,Yes,no,1
79897,Public magnet school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,No,no,1
64978,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,No,yes,1
70434,Private religious/parochial school,Same sex- female,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
52302,Private independent college-prep school,Same sex- male,A or A+,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
97050,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
46418,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
86691,Public school,A mixture of boys and girls,A-,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,No,no,1
93002,Private religious/parochial school,A mixture of boys and girls,A-,Not offered at my high school,"Bachelor's degree (B.A., B.S., etc.)",0-4,No,no,1
81930,Public school,A mixture of boys and girls,A-,5 or more,J.D. (Law),0-4,Yes,yes,1
56543,Public school,A mixture of boys and girls,A or A+,3-4,Ph.D or Ed.D.,None,Yes,no,1
92618,Private religious/parochial school,Same sex- female,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",16-20,No,no,1
17470,Private religious/parochial school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
74211,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",0-4,Yes,no,1
35180,Public school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
89142,Public school,A mixture of boys and girls,A-,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
24898,Public school,A mixture of boys and girls,A or A+,3-4,"M.D., D.O., D.D.S., or D.V.M.",21 or more,No,no,1
74413,Private independent college-prep school,A mixture of boys and girls,A or A+,3-4,"M.D., D.O., D.D.S., or D.V.M.",None,No,no,1
38824,Public school,A mixture of boys and girls,A or A+,5 or more,J.D. (Law),None,Yes,no,1
51723,Public school,A mixture of boys and girls,A-,1-2,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
79352,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,Yes,no,1
30814,Private independent college-prep school,Same sex- male,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
90502,Private independent college-prep school,A mixture of boys and girls,b,5 or more,J.D. (Law),None,Yes,no,1
94456,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",0-4,Yes,no,1
70661,Public charter school,A mixture of boys and girls,A or A+,Not offered at my high school,J.D. (Law),None,No,yes,1
50976,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
55533,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,None,No,no,1
12156,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",None,No,no,1
76485,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
33239,Private independent college-prep school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
72570,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,None,Yes,yes,1
67574,Private religious/parochial school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,yes,1
